Time,Open,High,Low,Close,Volume
2025-03-03 08:15:00,92862.72,92888.01,92811.72,92850.0,34.96412
2025-03-03 08:16:00,92850.0,92866.0,92798.0,92858.0,34.2432
2025-03-03 08:17:00,92858.0,92858.01,92672.48,92691.99,63.13206
2025-03-03 08:18:00,92691.99,92691.99,92649.58,92653.42,91.64754
2025-03-03 08:19:00,92653.41,92920.58,92653.41,92920.58,71.41146
2025-03-03 08:20:00,92920.58,92920.58,92832.36,92914.12,29.61319
2025-03-03 08:21:00,92914.12,93181.8,92900.86,93130.03,128.81147
2025-03-03 08:22:00,93130.3,93212.45,93130.3,93201.28,50.59583
2025-03-03 08:23:00,93201.27,93205.1,93143.99,93197.99,15.1082
2025-03-03 08:24:00,93198.0,93212.41,93049.79,93049.79,24.73593
2025-03-03 08:25:00,93049.79,93049.79,92824.0,92842.38,32.14402
2025-03-03 08:26:00,92842.38,93009.99,92842.38,93009.99,41.275
2025-03-03 08:27:00,93009.99,93066.66,92914.0,92919.23,18.10154
2025-03-03 08:28:00,92919.99,93031.84,92910.82,93031.23,11.28803
2025-03-03 08:29:00,93031.23,93066.66,92972.44,93059.14,20.97266
2025-03-03 08:30:00,93059.14,93158.24,93020.0,93035.99,26.61581
2025-03-03 08:31:00,93036.0,93061.99,92978.0,92979.98,35.60742
2025-03-03 08:32:00,92979.97,93028.14,92942.01,92971.99,10.84376
2025-03-03 08:33:00,92971.99,93096.0,92934.0,92971.65,28.99994
2025-03-03 08:34:00,92971.64,92971.64,92846.15,92846.16,25.90126
2025-03-03 08:35:00,92846.15,92846.16,92715.86,92728.02,38.2446
2025-03-03 08:36:00,92728.01,92788.0,92703.26,92738.01,19.20982
2025-03-03 08:37:00,92738.02,92778.71,92716.57,92778.67,23.2954
2025-03-03 08:38:00,92778.68,92870.23,92774.01,92870.23,16.76375
2025-03-03 08:39:00,92870.22,92991.99,92870.22,92978.01,16.93839
2025-03-03 08:40:00,92978.01,92978.01,92866.0,92944.95,12.53674
2025-03-03 08:41:00,92944.95,92967.8,92915.31,92939.65,30.10603
2025-03-03 08:42:00,92939.99,93000.0,92916.74,92957.99,17.40576
2025-03-03 08:43:00,92957.99,93071.81,92937.64,93064.89,26.34306
2025-03-03 08:44:00,93064.88,93064.88,92934.0,92962.26,29.4205
2025-03-03 08:45:00,92962.27,92962.27,92775.64,92835.81,24.83793
2025-03-03 08:46:00,92835.81,92852.24,92776.41,92852.06,22.52286
2025-03-03 08:47:00,92852.23,92906.86,92800.0,92800.01,20.06897
2025-03-03 08:48:00,92800.01,92875.99,92800.01,92812.1,9.52976
2025-03-03 08:49:00,92812.1,92838.68,92756.0,92809.52,15.57936
2025-03-03 08:50:00,92809.52,92920.0,92809.52,92920.0,23.29189
2025-03-03 08:51:00,92920.0,92920.0,92814.0,92871.53,14.15389
2025-03-03 08:52:00,92871.54,92886.8,92794.9,92886.79,16.43302
2025-03-03 08:53:00,92886.79,92896.01,92864.01,92885.98,11.90643
2025-03-03 08:54:00,92885.99,93028.43,92885.99,92991.0,35.79765
2025-03-03 08:55:00,92991.01,93163.99,92988.01,93155.09,30.44176
2025-03-03 08:56:00,93155.1,93155.1,93028.01,93031.98,16.65196
2025-03-03 08:57:00,93031.99,93150.41,93000.0,93150.41,16.45344
2025-03-03 08:58:00,93150.42,93212.96,93075.25,93085.94,28.02603
2025-03-03 08:59:00,93085.93,93085.94,93058.55,93084.64,16.21971
2025-03-03 09:00:00,93084.64,93186.96,93042.0,93042.01,13.17062
2025-03-03 09:01:00,93042.01,93087.14,93022.0,93087.14,9.63064
2025-03-03 09:02:00,93087.14,93145.61,93075.47,93077.4,8.38621
2025-03-03 09:03:00,93077.78,93138.44,92980.0,92987.71,17.63102
2025-03-03 09:04:00,92987.99,93070.7,92924.0,92928.0,31.07668
2025-03-03 09:05:00,92928.01,92928.01,92860.0,92860.0,26.79029
2025-03-03 09:06:00,92859.91,92940.39,92805.03,92850.39,31.55879
2025-03-03 09:07:00,92850.39,92960.0,92850.39,92947.38,23.59435
2025-03-03 09:08:00,92948.28,92960.0,92894.01,92939.27,16.44876
2025-03-03 09:09:00,92939.27,92945.98,92854.0,92881.99,32.40691
2025-03-03 09:10:00,92881.99,92952.76,92853.24,92952.76,12.35953
2025-03-03 09:11:00,92952.76,93000.0,92864.82,92931.62,10.77954
2025-03-03 09:12:00,92931.61,92954.72,92832.01,92832.01,19.25965
2025-03-03 09:13:00,92832.01,92986.99,92818.01,92956.03,13.61925
2025-03-03 09:14:00,92956.02,93000.0,92935.44,92944.53,11.63384
2025-03-03 09:15:00,92944.53,93026.86,92911.55,92982.8,20.41847
2025-03-03 09:16:00,92982.79,92982.8,92848.78,92849.18,18.50334
2025-03-03 09:17:00,92849.18,92903.39,92811.32,92811.32,29.65224
2025-03-03 09:18:00,92811.32,92886.8,92808.5,92852.01,20.52809
2025-03-03 09:19:00,92852.02,92924.0,92852.02,92870.46,13.37117
2025-03-03 09:20:00,92870.46,92931.49,92849.05,92867.64,13.19107
2025-03-03 09:21:00,92867.64,92893.89,92831.89,92831.89,8.76887
2025-03-03 09:22:00,92831.89,92840.0,92672.8,92725.06,35.5275
2025-03-03 09:23:00,92725.07,92731.99,92647.35,92699.99,23.50078
2025-03-03 09:24:00,92699.99,92766.71,92688.24,92722.97,27.38303
2025-03-03 09:25:00,92722.98,92735.85,92601.01,92601.02,17.44948
2025-03-03 09:26:00,92601.01,92690.29,92533.01,92610.0,39.12633
2025-03-03 09:27:00,92610.0,92649.99,92547.16,92547.16,12.52163
2025-03-03 09:28:00,92547.16,92547.17,92464.54,92506.01,49.58793
2025-03-03 09:29:00,92506.01,92555.77,92433.5,92437.12,28.20455
2025-03-03 09:30:00,92437.99,92561.6,92437.41,92463.16,32.27946
2025-03-03 09:31:00,92463.16,92612.72,92463.16,92553.0,29.54028
2025-03-03 09:32:00,92552.99,92603.8,92548.0,92578.25,16.75232
2025-03-03 09:33:00,92578.25,92715.04,92578.25,92715.0,92.51742
2025-03-03 09:34:00,92715.0,92846.14,92715.0,92843.97,49.36235
2025-03-03 09:35:00,92843.97,93014.15,92817.82,92976.39,61.28912
2025-03-03 09:36:00,92976.39,93123.97,92976.39,93121.99,32.2209
2025-03-03 09:37:00,93121.99,93129.47,93000.0,93023.99,34.62052
2025-03-03 09:38:00,93024.0,93111.69,93022.01,93040.02,26.96823
2025-03-03 09:39:00,93040.02,93150.95,93040.02,93123.25,43.46399
2025-03-03 09:40:00,93123.25,93197.05,93051.91,93079.97,21.73393
2025-03-03 09:41:00,93079.97,93167.99,93069.14,93140.01,16.85108
2025-03-03 09:42:00,93140.01,93245.3,93113.2,93113.2,34.94129
2025-03-03 09:43:00,93113.2,93159.03,93038.39,93049.09,14.85749
2025-03-03 09:44:00,93049.09,93125.99,93037.73,93083.99,14.07608
2025-03-03 09:45:00,93083.99,93211.71,93075.47,93188.42,19.00288
2025-03-03 09:46:00,93188.42,93271.46,93152.71,93271.45,34.68735
2025-03-03 09:47:00,93271.45,93442.83,93268.01,93415.1,49.51695
2025-03-03 09:48:00,93415.09,93415.1,93245.73,93318.01,22.15681
2025-03-03 09:49:00,93318.0,93321.51,93220.77,93243.23,19.44394
2025-03-03 09:50:00,93243.23,93286.03,93189.99,93240.0,19.67245
2025-03-03 09:51:00,93240.0,93252.96,93192.55,93218.87,10.41747
2025-03-03 09:52:00,93218.87,93343.98,93206.0,93334.35,17.85643
2025-03-03 09:53:00,93334.36,93343.98,93250.0,93264.15,9.40192
2025-03-03 09:54:00,93264.15,93274.0,93132.73,93133.99,11.04185
2025-03-03 09:55:00,93134.0,93197.85,93113.26,93197.84,13.5381
2025-03-03 09:56:00,93197.84,93199.98,93178.01,93199.98,17.59152
2025-03-03 09:57:00,93199.47,93282.3,93186.8,93273.53,36.94751
2025-03-03 09:58:00,93273.52,93317.38,93226.41,93314.82,34.51856
2025-03-03 09:59:00,93314.83,93318.84,93300.01,93318.24,18.87193
2025-03-03 10:00:00,93318.23,93360.22,93304.0,93357.23,35.65984
2025-03-03 10:01:00,93357.22,93393.22,93305.16,93317.33,59.65119
2025-03-03 10:02:00,93317.33,93426.39,93317.33,93426.38,14.42025
2025-03-03 10:03:00,93426.39,93437.68,93272.33,93272.33,15.68636
2025-03-03 10:04:00,93272.34,93288.0,93220.72,93229.08,34.5842
2025-03-03 10:05:00,93229.08,93229.09,93125.84,93129.99,12.06458
2025-03-03 10:06:00,93130.0,93173.38,93125.96,93138.88,6.31759
2025-03-03 10:07:00,93138.88,93138.89,93023.29,93058.87,21.86683
2025-03-03 10:08:00,93059.48,93059.49,93000.0,93012.56,33.75341
2025-03-03 10:09:00,93012.56,93116.0,93004.2,93114.01,42.01199
2025-03-03 10:10:00,93114.02,93126.41,93018.01,93028.0,13.52297
2025-03-03 10:11:00,93027.99,93070.0,93013.48,93070.0,7.80779
2025-03-03 10:12:00,93069.99,93096.3,93040.3,93048.01,13.48977
2025-03-03 10:13:00,93048.01,93094.45,92984.0,92984.0,20.962
2025-03-03 10:14:00,92984.0,92984.0,92828.64,92883.99,38.60622
2025-03-03 10:15:00,92884.0,92942.37,92825.44,92933.23,91.87861
2025-03-03 10:16:00,92933.23,92951.5,92717.47,92717.47,48.83225
2025-03-03 10:17:00,92717.46,92810.0,92717.46,92810.0,42.90188
2025-03-03 10:29:00,92673.03,92747.64,92645.28,92718.0,18.29835
